Date,Year,Month,Holiday,Count,Cluster_Label
2011-01-01,0,1,0,985,1
2011-01-02,0,1,0,801,1
2011-01-03,0,1,0,1349,1
2011-01-04,0,1,0,1562,1
2011-01-05,0,1,0,1600,1
2011-01-06,0,1,0,1606,1
2011-01-07,0,1,0,1510,1
2011-01-08,0,1,0,959,1
2011-01-09,0,1,0,822,1
2011-01-10,0,1,0,1321,1
2011-01-11,0,1,0,1263,1
2011-01-12,0,1,0,1162,1
2011-01-13,0,1,0,1406,1
2011-01-14,0,1,0,1421,1
2011-01-15,0,1,0,1248,1
2011-01-16,0,1,0,1204,1
2011-01-17,0,1,1,1000,1
2011-01-18,0,1,0,683,1
2011-01-19,0,1,0,1650,1
2011-01-20,0,1,0,1927,1
2011-01-21,0,1,0,1543,1
2011-01-22,0,1,0,981,1
2011-01-23,0,1,0,986,1
2011-01-24,0,1,0,1416,1
2011-01-25,0,1,0,1985,1
2011-01-26,0,1,0,506,1
2011-01-27,0,1,0,431,1
2011-01-28,0,1,0,1167,1
2011-01-29,0,1,0,1098,1
2011-01-30,0,1,0,1096,1
2011-01-31,0,1,0,1501,1
2011-02-01,0,2,0,1360,1
2011-02-02,0,2,0,1526,1
2011-02-03,0,2,0,1550,1
2011-02-04,0,2,0,1708,1
2011-02-05,0,2,0,1005,1
2011-02-06,0,2,0,1623,1
2011-02-07,0,2,0,1712,1
2011-02-08,0,2,0,1530,1
2011-02-09,0,2,0,1605,1
2011-02-10,0,2,0,1538,1
2011-02-11,0,2,0,1746,1
2011-02-12,0,2,0,1472,1
2011-02-13,0,2,0,1589,1
2011-02-14,0,2,0,1913,1
2011-02-15,0,2,0,1815,1
2011-02-16,0,2,0,2115,1
2011-02-17,0,2,0,2475,1
2011-02-18,0,2,0,2927,1
2011-02-19,0,2,0,1635,1
2011-02-20,0,2,0,1812,1
2011-02-21,0,2,1,1107,1
2011-02-22,0,2,0,1450,1
2011-02-23,0,2,0,1917,1
2011-02-24,0,2,0,1807,1
2011-02-25,0,2,0,1461,1
2011-02-26,0,2,0,1969,1
2011-02-27,0,2,0,2402,1
2011-02-28,0,2,0,1446,1
2011-03-01,0,3,0,1851,1
2011-03-02,0,3,0,2134,1
2011-03-03,0,3,0,1685,1
2011-03-04,0,3,0,1944,1
2011-03-05,0,3,0,2077,1
2011-03-06,0,3,0,605,1
2011-03-07,0,3,0,1872,1
2011-03-08,0,3,0,2133,1
2011-03-09,0,3,0,1891,1
2011-03-10,0,3,0,623,1
2011-03-11,0,3,0,1977,1
2011-03-12,0,3,0,2132,1
2011-03-13,0,3,0,2417,1
2011-03-14,0,3,0,2046,1
2011-03-15,0,3,0,2056,1
2011-03-16,0,3,0,2192,1
2011-03-17,0,3,0,2744,1
2011-03-18,0,3,0,3239,1
2011-03-19,0,3,0,3117,1
2011-03-20,0,3,0,2471,1
2011-03-21,0,3,0,2077,1
2011-03-22,0,3,0,2703,1
2011-03-23,0,3,0,2121,1
2011-03-24,0,3,0,1865,1
2011-03-25,0,3,0,2210,1
2011-03-26,0,3,0,2496,1
2011-03-27,0,3,0,1693,1
2011-03-28,0,3,0,2028,1
2011-03-29,0,3,0,2425,1
2011-03-30,0,3,0,1536,1
2011-03-31,0,3,0,1685,1
2011-04-01,0,4,0,2227,1
2011-04-02,0,4,0,2252,1
2011-04-03,0,4,0,3249,1
2011-04-04,0,4,0,3115,1
2011-04-05,0,4,0,1795,1
2011-04-06,0,4,0,2808,1
2011-04-07,0,4,0,3141,1
2011-04-08,0,4,0,1471,1
2011-04-09,0,4,0,2455,1
2011-04-10,0,4,0,2895,1
2011-04-11,0,4,0,3348,1
2011-04-12,0,4,0,2034,1
2011-04-13,0,4,0,2162,1
2011-04-14,0,4,0,3267,1
2011-04-15,0,4,1,3126,1
2011-04-16,0,4,0,795,1
2011-04-17,0,4,0,3744,1
2011-04-18,0,4,0,3429,1
2011-04-19,0,4,0,3204,1
2011-04-20,0,4,0,3944,1
2011-04-21,0,4,0,4189,1
2011-04-22,0,4,0,1683,1
2011-04-23,0,4,0,4036,1
2011-04-24,0,4,0,4191,1
2011-04-25,0,4,0,4073,1
2011-04-26,0,4,0,4400,1
2011-04-27,0,4,0,3872,1
2011-04-28,0,4,0,4058,1
2011-04-29,0,4,0,4595,0
2011-04-30,0,4,0,5312,0
2011-05-01,0,5,0,3351,1
2011-05-02,0,5,0,4401,1
2011-05-03,0,5,0,4451,0
2011-05-04,0,5,0,2633,1
2011-05-05,0,5,0,4433,0
2011-05-06,0,5,0,4608,0
2011-05-07,0,5,0,4714,0
2011-05-08,0,5,0,4333,1
2011-05-09,0,5,0,4362,1
2011-05-10,0,5,0,4803,0
2011-05-11,0,5,0,4182,1
2011-05-12,0,5,0,4864,0
2011-05-13,0,5,0,4105,1
2011-05-14,0,5,0,3409,1
2011-05-15,0,5,0,4553,0
2011-05-16,0,5,0,3958,1
2011-05-17,0,5,0,4123,1
2011-05-18,0,5,0,3855,1
2011-05-19,0,5,0,4575,0
2011-05-20,0,5,0,4917,0
2011-05-21,0,5,0,5805,0
2011-05-22,0,5,0,4660,0
2011-05-23,0,5,0,4274,1
2011-05-24,0,5,0,4492,0
2011-05-25,0,5,0,4978,0
