Season,Weathersit,Temp,Atemp,Hum,Windspeed,Count,Cluster_Label
1,1,0.24,0.2879,0.81,0.0,16,0
1,1,0.22,0.2727,0.8,0.0,40,0
1,1,0.22,0.2727,0.8,0.0,32,0
1,1,0.24,0.2879,0.75,0.0,13,0
1,1,0.24,0.2879,0.75,0.0,1,0
1,2,0.24,0.2576,0.75,0.0896,1,0
1,1,0.22,0.2727,0.8,0.0,2,0
1,1,0.2,0.2576,0.86,0.0,3,0
1,1,0.24,0.2879,0.75,0.0,8,0
1,1,0.32,0.3485,0.76,0.0,14,0
1,1,0.38,0.3939,0.76,0.2537,36,0
1,1,0.36,0.3333,0.81,0.2836,56,0
1,1,0.42,0.4242,0.77,0.2836,84,0
1,2,0.46,0.4545,0.72,0.2985,94,0
1,2,0.46,0.4545,0.72,0.2836,106,0
1,2,0.44,0.4394,0.77,0.2985,110,0
1,2,0.42,0.4242,0.82,0.2985,93,0
1,2,0.44,0.4394,0.82,0.2836,67,0
1,3,0.42,0.4242,0.88,0.2537,35,0
1,3,0.42,0.4242,0.88,0.2537,37,0
1,2,0.4,0.4091,0.87,0.2537,36,0
1,2,0.4,0.4091,0.87,0.194,34,0
1,2,0.4,0.4091,0.94,0.2239,28,0
1,2,0.46,0.4545,0.88,0.2985,39,0
1,2,0.46,0.4545,0.88,0.2985,17,0
1,2,0.44,0.4394,0.94,0.2537,17,0
1,2,0.42,0.4242,1.0,0.2836,9,0
1,2,0.46,0.4545,0.94,0.194,6,0
1,2,0.46,0.4545,0.94,0.194,3,0
1,3,0.42,0.4242,0.77,0.2985,2,0
1,2,0.4,0.4091,0.76,0.194,1,0
1,3,0.4,0.4091,0.71,0.2239,8,0
1,2,0.38,0.3939,0.76,0.2239,20,0
1,2,0.36,0.3485,0.81,0.2239,53,0
1,2,0.36,0.3333,0.71,0.2537,70,0
1,2,0.36,0.3333,0.66,0.2985,93,0
1,2,0.36,0.3485,0.66,0.1343,75,0
1,3,0.36,0.3485,0.76,0.194,59,0
1,3,0.34,0.3333,0.81,0.1642,74,0
1,3,0.34,0.3333,0.71,0.1642,76,0
1,1,0.34,0.3333,0.57,0.194,65,0
1,2,0.36,0.3333,0.46,0.3284,53,0
1,1,0.32,0.2879,0.42,0.4478,30,0
1,1,0.3,0.2727,0.39,0.3582,22,0
1,1,0.26,0.2273,0.44,0.3284,31,0
1,1,0.24,0.2121,0.44,0.2985,9,0
1,1,0.22,0.2273,0.47,0.1642,8,0
1,1,0.22,0.197,0.44,0.3582,5,0
1,1,0.2,0.1667,0.44,0.4179,2,0
1,1,0.16,0.1364,0.47,0.3881,1,0
1,1,0.16,0.1364,0.47,0.2836,3,0
1,1,0.14,0.1061,0.5,0.3881,30,0
1,1,0.14,0.1364,0.5,0.194,64,0
1,1,0.14,0.1212,0.5,0.2836,154,3
1,1,0.16,0.1364,0.43,0.3881,88,0
1,1,0.18,0.1667,0.43,0.2537,44,0
1,1,0.2,0.1818,0.4,0.3284,51,0
1,1,0.22,0.2121,0.35,0.2985,61,0
1,1,0.24,0.2121,0.35,0.2836,61,0
1,1,0.26,0.2424,0.3,0.2836,77,0
1,1,0.26,0.2424,0.3,0.2537,72,0
1,1,0.26,0.2424,0.3,0.2537,76,0
1,1,0.24,0.2273,0.3,0.2239,157,3
1,1,0.24,0.2576,0.32,0.1045,157,3
1,1,0.2,0.2576,0.47,0.0,110,0
1,1,0.2,0.2273,0.47,0.1045,52,0
1,1,0.18,0.197,0.64,0.1343,52,0
1,1,0.14,0.1515,0.69,0.1343,20,0
1,1,0.18,0.2121,0.55,0.1045,12,0
1,1,0.16,0.1818,0.55,0.1045,5,0
1,1,0.16,0.1818,0.59,0.1045,2,0
1,1,0.14,0.1515,0.63,0.1343,1,0
1,1,0.14,0.1818,0.63,0.0896,2,0
1,1,0.12,0.1515,0.68,0.1045,4,0
1,1,0.12,0.1515,0.74,0.1045,36,0
1,1,0.12,0.1515,0.74,0.1343,94,0
1,1,0.14,0.1515,0.69,0.1642,179,3
1,1,0.16,0.1515,0.64,0.2239,100,0
1,2,0.16,0.1364,0.69,0.3284,42,0
1,1,0.22,0.2121,0.51,0.2985,57,0
1,1,0.22,0.2273,0.51,0.1642,78,0
1,1,0.24,0.2273,0.56,0.194,97,0
1,1,0.26,0.2576,0.52,0.2239,63,0
1,1,0.28,0.2727,0.52,0.2537,65,0
1,1,0.3,0.2879,0.49,0.2537,83,0
1,1,0.28,0.2727,0.48,0.2239,212,3
1,1,0.26,0.2576,0.48,0.194,182,3
1,1,0.24,0.2576,0.48,0.1045,112,0
1,1,0.24,0.2576,0.48,0.1045,54,0
1,1,0.22,0.2727,0.64,0.0,48,0
1,1,0.22,0.2576,0.64,0.0896,35,0
1,1,0.2,0.2273,0.69,0.0896,11,0
1,1,0.2,0.2576,0.64,0.0,6,0
1,1,0.16,0.197,0.74,0.0896,6,0
1,1,0.16,0.197,0.74,0.0896,2,0
1,1,0.24,0.2273,0.48,0.2239,2,0
1,1,0.22,0.2273,0.47,0.1642,3,0
1,1,0.2,0.197,0.47,0.2239,33,0
1,1,0.18,0.1818,0.43,0.194,88,0
1,1,0.2,0.1818,0.4,0.2985,195,3
1,1,0.22,0.197,0.37,0.3284,115,0
1,1,0.22,0.197,0.37,0.3284,57,0
1,1,0.26,0.2273,0.33,0.3284,46,0
1,1,0.26,0.2273,0.33,0.3284,79,0
1,1,0.28,0.2576,0.3,0.2985,71,0
1,1,0.3,0.2879,0.28,0.194,62,0
1,1,0.3,0.2879,0.28,0.194,62,0
1,1,0.3,0.3182,0.28,0.0896,89,0
1,1,0.24,0.2273,0.38,0.194,190,3
1,1,0.24,0.2424,0.38,0.1343,169,3
1,1,0.24,0.2576,0.38,0.1045,132,3
1,1,0.22,0.2273,0.47,0.1642,89,0
1,1,0.2,0.197,0.51,0.194,43,0
1,1,0.18,0.197,0.55,0.1343,42,0
1,1,0.2,0.2576,0.47,0.0,19,0
1,1,0.18,0.2424,0.55,0.0,11,0
1,1,0.16,0.2273,0.64,0.0,4,0
1,1,0.16,0.2273,0.64,0.0,2,0
1,2,0.16,0.197,0.64,0.0896,1,0
1,2,0.14,0.1818,0.69,0.0896,4,0
1,2,0.14,0.1667,0.63,0.1045,36,0
1,2,0.16,0.2273,0.59,0.0,95,0
1,1,0.16,0.2273,0.59,0.0,219,3
1,2,0.18,0.2424,0.51,0.0,122,3
1,1,0.2,0.2576,0.47,0.0,45,0
1,1,0.22,0.2576,0.44,0.0896,59,0
1,1,0.26,0.2879,0.35,0.0,84,0
1,1,0.26,0.2727,0.35,0.1045,67,0
1,1,0.28,0.2727,0.36,0.1642,70,0
1,1,0.28,0.2727,0.36,0.0,62,0
1,1,0.26,0.2576,0.38,0.1642,86,0
1,1,0.22,0.2273,0.51,0.1642,172,3
1,1,0.22,0.2273,0.51,0.1343,163,3
1,1,0.22,0.2576,0.55,0.0896,112,0
1,1,0.2,0.2121,0.51,0.1642,69,0
1,2,0.22,0.2121,0.55,0.2239,48,0
1,2,0.22,0.2121,0.51,0.2836,52,0
1,2,0.2,0.197,0.59,0.194,23,0
1,2,0.2,0.197,0.64,0.194,17,0
1,2,0.2,0.197,0.69,0.2239,7,0
1,2,0.2,0.197,0.69,0.2239,1,0
1,2,0.2,0.2121,0.69,0.1343,1,0
1,3,0.22,0.2727,0.55,0.0,5,0
1,2,0.2,0.2576,0.69,0.0,34,0
1,1,0.2,0.2121,0.69,0.1343,84,0
1,1,0.2,0.197,0.51,0.2537,210,3
1,1,0.2,0.1818,0.47,0.2985,134,3
1,1,0.22,0.197,0.37,0.3284,63,0
1,2,0.2,0.197,0.4,0.2239,67,0
1,2,0.2,0.197,0.37,0.2537,59,0
1,2,0.2,0.1818,0.37,0.2836,73,0
1,2,0.2,0.197,0.4,0.2537,50,0
1,2,0.2,0.2121,0.37,0.1642,72,0
1,2,0.2,0.2121,0.37,0.1642,87,0
1,2,0.2,0.2576,0.37,0.0,187,3
1,1,0.2,0.2273,0.4,0.0896,123,3
1,1,0.16,0.197,0.55,0.0896,95,0
1,1,0.18,0.2121,0.47,0.1045,51,0
1,1,0.18,0.197,0.47,0.1343,39,0
1,2,0.18,0.197,0.43,0.1642,36,0
1,2,0.18,0.197,0.51,0.1642,15,0
1,2,0.18,0.197,0.51,0.1642,25,0
1,2,0.18,0.2121,0.55,0.0896,16,0
1,2,0.18,0.2424,0.55,0.0,16,0
1,3,0.18,0.197,0.55,0.1642,7,0
1,3,0.18,0.197,0.55,0.1642,1,0
1,2,0.16,0.1667,0.74,0.1642,5,0
1,2,0.16,0.1667,0.74,0.1642,2,0
1,2,0.16,0.1818,0.74,0.1045,9,0
1,3,0.16,0.1818,0.93,0.1045,15,0
1,3,0.16,0.1818,0.93,0.1045,20,0
1,2,0.18,0.197,0.8,0.1642,61,0
1,2,0.2,0.1818,0.69,0.3881,62,0
1,2,0.2,0.1818,0.59,0.3582,98,0
1,1,0.2,0.1818,0.44,0.3284,102,0
1,1,0.2,0.1667,0.32,0.4925,95,0
1,1,0.2,0.1667,0.32,0.4478,74,0
1,1,0.18,0.1364,0.29,0.4478,76,0
1,1,0.16,0.1212,0.37,0.5522,69,0
1,1,0.14,0.1212,0.39,0.2985,55,0
1,1,0.14,0.1212,0.36,0.2537,30,0
1,1,0.12,0.1212,0.36,0.2537,28,0
1,1,0.12,0.1061,0.39,0.3582,37,0
1,1,0.12,0.1061,0.36,0.3881,34,0
1,1,0.1,0.0606,0.39,0.4478,22,0
1,1,0.1,0.0758,0.42,0.3881,25,0
1,1,0.1,0.0606,0.42,0.4627,12,0
1,1,0.1,0.0606,0.46,0.4627,11,0
1,1,0.1,0.0758,0.46,0.4179,4,0
1,1,0.08,0.0909,0.53,0.194,1,0
1,1,0.08,0.0909,0.53,0.194,1,0
1,1,0.1,0.0909,0.49,0.2836,1,0
1,1,0.08,0.0909,0.53,0.194,6,0
1,1,0.1,0.0909,0.49,0.2836,10,0
1,1,0.12,0.0758,0.46,0.5224,19,0
1,1,0.14,0.1061,0.43,0.3881,49,0
1,1,0.16,0.1212,0.4,0.5224,49,0
1,1,0.18,0.1364,0.37,0.4478,83,0
1,1,0.2,0.1667,0.34,0.4478,75,0
1,1,0.22,0.1818,0.32,0.4627,72,0
1,1,0.22,0.197,0.35,0.3582,82,0
1,1,0.2,0.1667,0.34,0.4478,92,0
1,1,0.18,0.1515,0.37,0.3881,62,0
1,1,0.16,0.1364,0.4,0.3284,48,0
1,1,0.16,0.1364,0.43,0.3284,41,0
1,1,0.14,0.1212,0.46,0.2537,38,0
1,1,0.14,0.1061,0.46,0.4179,20,0
1,1,0.14,0.1212,0.46,0.2985,15,0
1,1,0.12,0.1364,0.5,0.194,6,0
1,1,0.12,0.1212,0.5,0.2836,5,0
1,1,0.12,0.1212,0.5,0.2836,1,0
1,1,0.12,0.1212,0.5,0.2239,3,0
1,1,0.12,0.1212,0.5,0.2239,1,0
1,1,0.1,0.1212,0.54,0.1343,3,0
1,1,0.1,0.1061,0.54,0.2537,3,0
1,1,0.12,0.1212,0.5,0.2836,31,0
1,1,0.12,0.1212,0.5,0.2239,77,0
1,2,0.12,0.1212,0.5,0.2836,188,3
1,2,0.14,0.1212,0.5,0.2537,94,0
1,2,0.14,0.1212,0.5,0.2985,31,0
1,2,0.16,0.1364,0.47,0.2836,30,0
1,2,0.2,0.1818,0.4,0.2836,52,0
1,2,0.2,0.1818,0.4,0.2836,54,0
1,2,0.2,0.197,0.4,0.2239,47,0
1,2,0.2,0.197,0.4,0.2239,45,0
1,1,0.2,0.2121,0.4,0.1343,74,0
1,1,0.2,0.2273,0.4,0.1045,178,3
1,1,0.2,0.197,0.4,0.2239,155,3
1,1,0.16,0.1667,0.47,0.1642,95,0
1,1,0.16,0.1667,0.5,0.1642,74,0
1,1,0.14,0.1364,0.59,0.194,38,0
1,1,0.14,0.1515,0.59,0.1642,24,0
1,1,0.14,0.1515,0.59,0.1642,18,0
1,1,0.14,0.1667,0.59,0.1045,12,0
1,1,0.14,0.1515,0.59,0.1642,3,0
1,2,0.16,0.1515,0.55,0.194,3,0
1,2,0.16,0.1818,0.55,0.1343,6,0
1,2,0.16,0.1818,0.55,0.1343,27,0
1,2,0.16,0.2273,0.55,0.0,99,0
1,2,0.18,0.2121,0.51,0.0896,217,3
1,2,0.18,0.197,0.51,0.1642,130,3
1,2,0.2,0.2121,0.51,0.1642,54,0
1,2,0.2,0.2121,0.47,0.1343,35,0
1,2,0.2,0.2273,0.51,0.1045,57,0
1,2,0.2,0.2273,0.59,0.0896,52,0
1,2,0.2,0.2273,0.59,0.0896,63,0
1,2,0.16,0.197,0.8,0.0896,47,0
1,2,0.16,0.1515,0.86,0.2239,76,0
1,2,0.16,0.1515,0.86,0.2239,136,3
1,3,0.16,0.1818,0.93,0.1045,95,0
1,3,0.16,0.2273,0.93,0.0,51,0
1,3,0.16,0.1515,0.93,0.194,32,0
1,3,0.16,0.197,0.86,0.0896,20,0
1,3,0.16,0.1818,0.93,0.1045,29,0
1,3,0.16,0.197,0.93,0.0896,19,0
1,2,0.16,0.197,0.86,0.0896,7,0
1,2,0.16,0.1818,0.86,0.1045,6,0
1,1,0.14,0.1515,0.86,0.1343,1,0
1,1,0.14,0.1515,0.86,0.1642,5,0
1,1,0.12,0.1515,0.93,0.1343,16,0
1,1,0.14,0.1515,0.69,0.1343,54,0
1,1,0.16,0.1667,0.59,0.1642,128,3
1,1,0.16,0.1364,0.59,0.3284,81,0
1,1,0.18,0.1818,0.55,0.2239,39,0
1,1,0.2,0.1818,0.51,0.3881,35,0
1,1,0.2,0.1515,0.47,0.5821,55,0
1,1,0.22,0.197,0.44,0.3582,49,0
1,1,0.2,0.1818,0.47,0.3284,44,0
1,1,0.2,0.1667,0.47,0.4179,49,0
1,1,0.22,0.197,0.44,0.3284,68,0
1,1,0.2,0.1818,0.47,0.3582,139,3
1,1,0.2,0.1515,0.47,0.5224,137,3
1,1,0.18,0.1515,0.47,0.4179,83,0
1,1,0.16,0.1364,0.5,0.3284,56,0
1,1,0.16,0.1364,0.55,0.3284,57,0
1,1,0.16,0.1212,0.55,0.4478,33,0
1,1,0.14,0.1061,0.59,0.4179,20,0
1,1,0.14,0.1212,0.59,0.2836,7,0
1,1,0.14,0.1212,0.5,0.2836,2,0
1,1,0.14,0.1212,0.5,0.3582,2,0
1,1,0.14,0.1212,0.5,0.3284,3,0
1,1,0.14,0.1212,0.5,0.2537,4,0
1,1,0.14,0.1212,0.5,0.2985,3,0
1,1,0.12,0.1515,0.54,0.1343,28,0
1,1,0.12,0.1515,0.54,0.1343,72,0
1,1,0.14,0.1364,0.5,0.194,202,3
1,1,0.14,0.1212,0.5,0.3284,139,3
1,2,0.16,0.1364,0.5,0.3582,38,0
1,2,0.2,0.1667,0.44,0.4478,37,0
1,1,0.2,0.1667,0.44,0.4179,52,0
1,1,0.22,0.197,0.41,0.4478,83,0
1,1,0.22,0.197,0.41,0.3881,42,0
1,1,0.24,0.2121,0.38,0.2985,60,0
1,1,0.24,0.2121,0.38,0.3582,78,0
1,1,0.2,0.1818,0.4,0.2836,162,3
1,1,0.2,0.1818,0.4,0.3284,144,3
